OriginalText,AverageErrorsPerWord_0.15%,15%_ErrorInducedText,AverageErrorsPerWord_0.25%,25%_ErrorInducedText,AverageErrorsPerWord_0.35%,35%_ErrorInducedText,AverageErrorsPerWord_0.5%,50%_ErrorInducedText
ఇందులో భాగంగా వృద్ధుల పెన్షన్ వయస్సు నుంచి సంవత్సరాలకు కుదించారు,0.0,ఇందులో భాగంగా వృద్దుల పెన్షన్ వయస్వు నుంచి సంవత్వరాలకు కుదించారు,0.0,ఇందులో భాగంగా వృద్దుల పెన్షన్ వయస్పు నుంచి సంవత్పరాలకు కుదించారు,0.0,ఇందులో భాగంగా వృద్డుల పెన్షన్ వయస్చు నుంచి సంవత్పరాలకు కుదించారు,0.0,ఇందులో భాగంగా వృద్గుల పెన్షన్ వయస్వు నుంచి సంవత్చరాలకు కుదించారు
ఈ మార్కెట్ లో అనేక వీధులను అక్కడ దొరికే ప్రముఖ వంటకాలను బట్టి పిలుస్తారు,0.0,ఈ మార్కెట్ లో అనేక వీధులను అక్కడ దొరికే ప్రముఖ వంటకాలను బట్టి పిలుస్లారు,0.0,ఈ మార్కెట్ లో అనేక వీధులను అక్కడ దొరికే ప్రముఖ వంటకాలను బట్టి పిలుస్లారు,0.0,ఈ మార్కెట్ లో అనేక వీధులను అక్కడ దొరికే ప్రముఖ వంటకాలను బట్టి పిలుస్లారు,0.0,ఈ మార్కెట్ లో అనేక వీధులను అక్కడ దొరికే ప్రముఖ వంటకాలను బట్టి పిలుస్లారు
వారి ఫిర్యాదు మేరకు పోలీసులు కేసు నమోదు చేసుకొని దర్యాప్తు చేస్తున్నారు,0.0,వారి ఫిర్యాదు మేరకు పోలీసులు కేసు నమోదు చేసుకొని దర్యాప్లు చేస్లున్వారు,0.0,వారి ఫిర్యాదు మేరకు పోలీసులు కేసు నమోదు చేసుకొని దర్యాప్లు చేస్లున్పారు,0.0,వారి ఫిర్యాదు మేరకు పోలీసులు కేసు నమోదు చేసుకొని దర్యాప్లు చేస్లున్వారు,0.0,వారి ఫిర్యాదు మేరకు పోలీసులు కేసు నమోదు చేసుకొని దర్యాప్లు చేస్లున్వారు
వేల కోట్ల లంచమా రేవంత్ రెడ్డికి కేటీఆర్ కౌంటర్,0.0,వేల కోట్గ లంచమా రేవంత్ రెడ్ధికి కేటీఆర్ కౌంటర్,0.0,వేల కోట్ధ లంచమా రేవంత్ రెడ్దికి కేటీఆర్ కౌంటర్,0.0,వేల కోట్గ లంచమా రేవంత్ రెడ్దికి కేటీఆర్ కౌంటర్,0.0,వేల కోట్ధ లంచమా రేవంత్ రెడ్దికి కేటీఆర్ కౌంటర్
అతితక్కువ ధర ప్లేటుకు రూ,0.0,అతితక్కువ ధర ప్గేటుకు రూ,0.0,అతితక్కువ ధర ప్తేటుకు రూ,0.0,అతితక్కువ ధర ప్తేటుకు రూ,0.0,అతితక్కువ ధర ప్ధేటుకు రూ
ఎందుకు హత్య చేశారు,0.0,ఎందుకు హత్య చేశారు,0.0,ఎందుకు హత్య చేశారు,0.0,ఎందుకు హత్య చేశారు,0.0,ఎందుకు హత్య చేశారు
ఇక ఫొటోపై కూడా నెటిజన్లు తమ ప్రతాపం చూపించారు,0.0,ఇక ఫొటోపై కూడా నెటిజన్తు తమ ప్రతాపం చూపించారు,0.0,ఇక ఫొటోపై కూడా నెటిజన్ధు తమ ప్రతాపం చూపించారు,0.0,ఇక ఫొటోపై కూడా నెటిజన్ధు తమ ప్రతాపం చూపించారు,0.0,ఇక ఫొటోపై కూడా నెటిజన్ధు తమ ప్రతాపం చూపించారు
హిందూపురం మాజీ ఎమ్మెల్యే టీడీపీ నేత అబ్దుల్ ఘనీ ఇటీవల వైసీపీలో చేరిన సంగతి తెలిసిందే,0.0,హిందూపురం మాజీ ఎమ్శెల్యే టీడీపీ నేత అబ్ ుల్ ఘనీ ఇటీవల వైసీపీలో చేరిన సంగతి తెలిసిందే,0.0,హిందూపురం మాజీ ఎమ్శెల్యే టీడీపీ నేత అబ్డుల్ ఘనీ ఇటీవల వైసీపీలో చేరిన సంగతి తెలిసిందే,0.0,హిందూపురం మాజీ ఎమ్శెల్యే టీడీపీ నేత అబ్ ుల్ ఘనీ ఇటీవల వైసీపీలో చేరిన సంగతి తెలిసిందే,0.0,హిందూపురం మాజీ ఎమ్శెల్యే టీడీపీ నేత అబ్ ుల్ ఘనీ ఇటీవల వైసీపీలో చేరిన సంగతి తెలిసిందే
వారిద్దరూ వ్యత్తిరీత్యా దగ్గరయ్యారు,0.0,వారిద్ధరూ వ్యత్లిరీత్యా దగ్ధరయ్యారు,0.0,వారిద్ధరూ వ్యత్లిరీత్యా దగ్ఠరయ్యారు,0.0,వారిద్ధరూ వ్యత్లిరీత్యా దగ్ఠరయ్యారు,0.0,వారిద్ధరూ వ్యత్లిరీత్యా దగ్ధరయ్యారు
అటవీ సంరక్షణ నియమాలు,0.0,అటవీ సంరక్షణ నియమాలు,0.0,అటవీ సంరక్షణ నియమాలు,0.0,అటవీ సంరక్షణ నియమాలు,0.0,అటవీ సంరక్షణ నియమాలు
నేను చేసిన మంచి సినిమాల్లో ఇది కూడా ఒకటి,0.0,నేను చేసిన మంచి సినిమాల్గో ఇది కూడా ఒకటి,0.0,నేను చేసిన మంచి సినిమాల్ధో ఇది కూడా ఒకటి,0.0,నేను చేసిన మంచి సినిమాల్గో ఇది కూడా ఒకటి,0.0,నేను చేసిన మంచి సినిమాల్గో ఇది కూడా ఒకటి
మరోపక్క షారుక్ ఖాన్ అనుష్క శర్మ నటిస్తున్న జీరోలో ఆమె ప్రధాన పాత్ర పోషిస్తుంది,0.0,మరోపక్క షారుక్ ఖాన్ అనుష్క శర్శ నటిస్లున్వ జీరోలో ఆమె ప్రధాన పాత్ర పోషిస్లుంది,0.0,మరోపక్క షారుక్ ఖాన్ అనుష్క శర్శ నటిస్లున్ప జీరోలో ఆమె ప్రధాన పాత్ర పోషిస్లుంది,0.0,మరోపక్క షారుక్ ఖాన్ అనుష్క శర్శ నటిస్లున్వ జీరోలో ఆమె ప్రధాన పాత్ర పోషిస్లుంది,0.0,మరోపక్క షారుక్ ఖాన్ అనుష్క శర్శ నటిస్లున్వ జీరోలో ఆమె ప్రధాన పాత్ర పోషిస్లుంది
మేడిగడ్డ బ్యారేజీని సకాలంలో నిర్మించి ఈ సీజన్ కు అందించిన ఎల్ అండ్ టి సంస్థను ఇరిగేషన్ అధికారులను ముఖ్యమంత్రి అభినందించారు,0.0,మేడిగడ్ధ బ్యారేజీని సకాలంలో నిర్శించి ఈ సీజన్ కు అందించిన ఎల్ అండ్ టి సంస్థను ఇరిగేషన్ అధికారులను ముఖ్యమంత్రి అభినందించారు,0.0,మేడిగడ్ధ బ్యారేజీని సకాలంలో నిర్శించి ఈ సీజన్ కు అందించిన ఎల్ అండ్ టి సంస్థను ఇరిగేషన్ అధికారులను ముఖ్యమంత్రి అభినందించారు,0.0,మేడిగడ్ద బ్యారేజీని సకాలంలో నిర్శించి ఈ సీజన్ కు అందించిన ఎల్ అండ్ టి సంస్థను ఇరిగేషన్ అధికారులను ముఖ్యమంత్రి అభినందించారు,0.0,మేడిగడ్ద బ్యారేజీని సకాలంలో నిర్శించి ఈ సీజన్ కు అందించిన ఎల్ అండ్ టి సంస్థను ఇరిగేషన్ అధికారులను ముఖ్యమంత్రి అభినందించారు
ఒక జననం మరియు మరణం,0.0,ఒక జననం మరియు మరణం,0.0,ఒక జననం మరియు మరణం,0.0,ఒక జననం మరియు మరణం,0.0,ఒక జననం మరియు మరణం
దీంతో కుడి భుజానికి గాయాలయ్యాయి,0.0,దీంతో కుడి భుజానికి గాయాలయ్యాయి,0.0,దీంతో కుడి భుజానికి గాయాలయ్యాయి,0.0,దీంతో కుడి భుజానికి గాయాలయ్యాయి,0.0,దీంతో కుడి భుజానికి గాయాలయ్యాయి
ఈ ఉదాహరణలు మానవులు ప్రకృతిలో కనిపించే రూపకల్పనలను ఎంతగా అనుకరిస్తారో చక్కగా చూపిస్తున్నాయి,0.0,ఈ ఉదాహరణలు మానవులు ప్రకృతిలో కనిపించే రూపకల్యనలను ఎంతగా అనుకరిస్లారో చక్కగా చూపిస్లున్వాయి,0.0,ఈ ఉదాహరణలు మానవులు ప్రకృతిలో కనిపించే రూపకల్వనలను ఎంతగా అనుకరిస్లారో చక్కగా చూపిస్లున్పాయి,0.0,ఈ ఉదాహరణలు మానవులు ప్రకృతిలో కనిపించే రూపకల్ననలను ఎంతగా అనుకరిస్లారో చక్కగా చూపిస్లున్వాయి,0.0,ఈ ఉదాహరణలు మానవులు ప్రకృతిలో కనిపించే రూపకల్సనలను ఎంతగా అనుకరిస్లారో చక్కగా చూపిస్లున్వాయి
ఈ మిశ్రమం ఏర్పాటుకు ప్రేరణను ఏమిటి,0.0,ఈ మిశ్రమం ఏర్వాటుకు ప్రేరణను ఏమిటి,0.0,ఈ మిశ్రమం ఏర్యాటుకు ప్రేరణను ఏమిటి,0.0,ఈ మిశ్రమం ఏర్సాటుకు ప్రేరణను ఏమిటి,0.0,ఈ మిశ్రమం ఏర్నాటుకు ప్రేరణను ఏమిటి
ఈ సమస్య నుంచి బయటపడాలనుకుంటున్నా,0.0,ఈ సమస్య నుంచి బయటపడాలనుకుంటున్పా,0.0,ఈ సమస్య నుంచి బయటపడాలనుకుంటున్వా,0.0,ఈ సమస్య నుంచి బయటపడాలనుకుంటున్పా,0.0,ఈ సమస్య నుంచి బయటపడాలనుకుంటున్పా
అమెరికన్ రచయిత్రికి ప్రతిష్టాత్మక నోబెల్ బహుమతి,0.0,అమెరికన్ రచయిత్రికి ప్రతిష్టాత్శక నోబెల్ బహుమతి,0.0,అమెరికన్ రచయిత్రికి ప్రతిష్టాత్శక నోబెల్ బహుమతి,0.0,అమెరికన్ రచయిత్రికి ప్రతిష్టాత్శక నోబెల్ బహుమతి,0.0,అమెరికన్ రచయిత్రికి ప్రతిష్టాత్శక నోబెల్ బహుమతి
చాలా తరచుగా మొటిమల చర్మం లో ముఖం మెడ వీపు ఛాతీ భుజాలు ఉదరం మీద స్థానికీకరించిన,0.0,చాలా తరచుగా మొటిమల చర్శం లో ముఖం మెడ వీపు ఛాతీ భుజాలు ఉదరం మీద స్థానికీకరించిన,0.0,చాలా తరచుగా మొటిమల చర్శం లో ముఖం మెడ వీపు ఛాతీ భుజాలు ఉదరం మీద స్థానికీకరించిన,0.0,చాలా తరచుగా మొటిమల చర్శం లో ముఖం మెడ వీపు ఛాతీ భుజాలు ఉదరం మీద స్థానికీకరించిన,0.0,చాలా తరచుగా మొటిమల చర్శం లో ముఖం మెడ వీపు ఛాతీ భుజాలు ఉదరం మీద స్థానికీకరించిన
ఈ సినిమాను తెలుగులో కూడా అనువాదం చేసి విడుదల చేస్తున్నారు,0.0,ఈ సినిమాను తెలుగులో కూడా అనువాదం చేసి విడుదల చేస్లున్వారు,0.0,ఈ సినిమాను తెలుగులో కూడా అనువాదం చేసి విడుదల చేస్లున్పారు,0.0,ఈ సినిమాను తెలుగులో కూడా అనువాదం చేసి విడుదల చేస్లున్పారు,0.0,ఈ సినిమాను తెలుగులో కూడా అనువాదం చేసి విడుదల చేస్లున్వారు
రక్తంలో చక్కెర స్థాయులను నియంత్రిస్తాయివి,0.0,రక్లంలో చక్కెర స్థాయులను నియంత్రిస్లాయివి,0.0,రక్లంలో చక్కెర స్థాయులను నియంత్రిస్లాయివి,0.0,రక్లంలో చక్కెర స్థాయులను నియంత్రిస్లాయివి,0.0,రక్లంలో చక్కెర స్థాయులను నియంత్రిస్లాయివి
బిఎస్ఎన్ఎల్ భారత్ ఎయిర్ఫైబర్తో పాటు బిఎస్ఎన్ఎల్ ట్రిపుల్ ప్లే సేవలను కూడా అందిస్తున్నట్లు ప్రకటించారు,0.0,బిఎస్ఎన్ఎల్ భారత్ ఎయిర్ఫైబర్లో పాటు బిఎస్ఎన్ఎల్ ట్రిపుల్ ప్తే సేవలను కూడా అందిస్లున్వట్గు ప్రకటించారు,0.0,బిఎస్ఎన్ఎల్ భారత్ ఎయిర్ఫైబర్లో పాటు బిఎస్ఎన్ఎల్ ట్రిపుల్ ప్ధే సేవలను కూడా అందిస్లున్పట్తు ప్రకటించారు,0.0,బిఎస్ఎన్ఎల్ భారత్ ఎయిర్ఫైబర్లో పాటు బిఎస్ఎన్ఎల్ ట్రిపుల్ ప్ధే సేవలను కూడా అందిస్లున్పట్ధు ప్రకటించారు,0.0,బిఎస్ఎన్ఎల్ భారత్ ఎయిర్ఫైబర్లో పాటు బిఎస్ఎన్ఎల్ ట్రిపుల్ ప్ధే సేవలను కూడా అందిస్లున్పట్ధు ప్రకటించారు
సినిమా టీజర్లు కూడా సినిమా పై అంచనాని పెంచాయి,0.0,సినిమా టీజర్తు కూడా సినిమా పై అంచనాని పెంచాయి,0.0,సినిమా టీజర్తు కూడా సినిమా పై అంచనాని పెంచాయి,0.0,సినిమా టీజర్గు కూడా సినిమా పై అంచనాని పెంచాయి,0.0,సినిమా టీజర్గు కూడా సినిమా పై అంచనాని పెంచాయి
ఇందిరా ఈజ్ ఇండియా మోడీ రాజ్ ఆ గయా,0.0,ఇందిరా ఈజ్ ఇండియా మోడీ రాజ్ ఆ గయా,0.0,ఇందిరా ఈజ్ ఇండియా మోడీ రాజ్ ఆ గయా,0.0,ఇందిరా ఈజ్ ఇండియా మోడీ రాజ్ ఆ గయా,0.0,ఇందిరా ఈజ్ ఇండియా మోడీ రాజ్ ఆ గయా
అతను హైదరాబాద్లో ఓ ప్రయివేటు సంస్థలో ఫార్మసిస్టుగా పనిచేస్తూ అక్కడే ఉంటున్నాడు,0.0,అతను హైదరాబాద్తో ఓ ప్రయివేటు సంస్థలో ఫార్శసిస్టుగా పనిచేస్లూ అక్కడే ఉంటున్పాడు,0.0,అతను హైదరాబాద్తో ఓ ప్రయివేటు సంస్థలో ఫార్శసిస్టుగా పనిచేస్లూ అక్కడే ఉంటున్పాడు,0.0,అతను హైదరాబాద్తో ఓ ప్రయివేటు సంస్థలో ఫార్శసిస్టుగా పనిచేస్లూ అక్కడే ఉంటున్వాడు,0.0,అతను హైదరాబాద్గో ఓ ప్రయివేటు సంస్థలో ఫార్శసిస్టుగా పనిచేస్లూ అక్కడే ఉంటున్వాడు
హైకోర్టును కర్నూల్కు తరలిస్తామని ప్రభుత్వం చేసిన ప్రకటనను వ్యతిరేకిస్తూ న్యాయవాదులు నిరసన వ్యక్తం చేశారు,0.0,హైకోర్టును కర్వూల్కు తరలిస్లామని ప్రభుత్సం చేసిన ప్రకటనను వ్యతిరేకిస్లూ న్యాయవాదులు నిరసన వ్యక్లం చేశారు,0.0,హైకోర్టును కర్వూల్కు తరలిస్లామని ప్రభుత్పం చేసిన ప్రకటనను వ్యతిరేకిస్లూ న్యాయవాదులు నిరసన వ్యక్లం చేశారు,0.0,హైకోర్టును కర్పూల్కు తరలిస్లామని ప్రభుత్సం చేసిన ప్రకటనను వ్యతిరేకిస్లూ న్యాయవాదులు నిరసన వ్యక్లం చేశారు,0.0,హైకోర్టును కర్వూల్కు తరలిస్లామని ప్రభుత్పం చేసిన ప్రకటనను వ్యతిరేకిస్లూ న్యాయవాదులు నిరసన వ్యక్లం చేశారు
చరిత్రంతటిలోనూ యెహోవా మానవులతో ఎలా సంభాషించాడు,0.0,చరిత్రంతటిలోనూ యెహోవా మానవులతో ఎలా సంభాషించాడు,0.0,చరిత్రంతటిలోనూ యెహోవా మానవులతో ఎలా సంభాషించాడు,0.0,చరిత్రంతటిలోనూ యెహోవా మానవులతో ఎలా సంభాషించాడు,0.0,చరిత్రంతటిలోనూ యెహోవా మానవులతో ఎలా సంభాషించాడు
వివిధ రంగాల్లో విశేష ప్రతిభ చూపిన పలువురికి అవార్డులు అందించారు,0.0,వివిధ రంగాల్ధో విశేష ప్రతిభ చూపిన పలువురికి అవార్ధులు అందించారు,0.0,వివిధ రంగాల్తో విశేష ప్రతిభ చూపిన పలువురికి అవార్దులు అందించారు,0.0,వివిధ రంగాల్తో విశేష ప్రతిభ చూపిన పలువురికి అవార్ధులు అందించారు,0.0,వివిధ రంగాల్ధో విశేష ప్రతిభ చూపిన పలువురికి అవార్దులు అందించారు
ఫిర్యాదు చేసిన బాధితురాలికి ముగ్గురు పిల్లలు ఉన్నారు,0.0,ఫిర్యాదు చేసిన బాధితురాలికి ముగ్లురు పిల్ధలు ఉన్వారు,0.0,ఫిర్యాదు చేసిన బాధితురాలికి ముగ్లురు పిల్గలు ఉన్పారు,0.0,ఫిర్యాదు చేసిన బాధితురాలికి ముగ్ధురు పిల్తలు ఉన్పారు,0.0,ఫిర్యాదు చేసిన బాధితురాలికి ముగ్ధురు పిల్ధలు ఉన్వారు
ఆయన పూర్తిగా మారిపోయారు,0.0,ఆయన పూర్లిగా మారిపోయారు,0.0,ఆయన పూర్లిగా మారిపోయారు,0.0,ఆయన పూర్లిగా మారిపోయారు,0.0,ఆయన పూర్లిగా మారిపోయారు
దీనికి ఐసీసీ తన ట్విట్టర్లో స్టంప్స్ వెనుక ధోని ఉన్నాడంటే ఎప్పుడూ క్రీజ్ను వీడొద్దు అని ట్వీట్ చేసింది,0.0,దీనికి ఐసీసీ తన ట్పిట్టర్ధో స్టంప్చ్ వెనుక ధోని ఉన్వాడంటే ఎప్యుడూ క్రీజ్పు వీడొద్ధు అని ట్పీట్ చేసింది,0.0,దీనికి ఐసీసీ తన ట్చిట్టర్ధో స్టంప్ప్ వెనుక ధోని ఉన్పాడంటే ఎప్నుడూ క్రీజ్వు వీడొద్డు అని ట్సీట్ చేసింది,0.0,దీనికి ఐసీసీ తన ట్నిట్టర్ధో స్టంప్ప్ వెనుక ధోని ఉన్వాడంటే ఎప్యుడూ క్రీజ్పు వీడొద్ధు అని ట్నీట్ చేసింది,0.0,దీనికి ఐసీసీ తన ట్సిట్టర్గో స్టంప్న్ వెనుక ధోని ఉన్వాడంటే ఎప్యుడూ క్రీజ్వు వీడొద్ ు అని ట్యీట్ చేసింది
కూతురిపై తండ్రి అత్యాచారం,0.0,కూతురిపై తండ్రి అత్యాచారం,0.0,కూతురిపై తండ్రి అత్యాచారం,0.0,కూతురిపై తండ్రి అత్యాచారం,0.0,కూతురిపై తండ్రి అత్యాచారం
నెక్సాన్ ఏఎమ్టితో పాటు టాటా మోటార్స్ ఇమ్యాజినేటర్ అనే కార్ కస్టమైజేషన్ ఫ్లాట్ఫామ్ను ప్రవేశపెట్టింది,0.0,నెక్నాన్ ఏఎమ్టితో పాటు టాటా మోటార్ప్ ఇమ్యాజినేటర్ అనే కార్ కస్టమైజేషన్ ఫ్ధాట్ఫామ్పు ప్రవేశపెట్టింది,0.0,నెక్పాన్ ఏఎమ్టితో పాటు టాటా మోటార్వ్ ఇమ్యాజినేటర్ అనే కార్ కస్టమైజేషన్ ఫ్తాట్ఫామ్పు ప్రవేశపెట్టింది,0.0,నెక్వాన్ ఏఎమ్టితో పాటు టాటా మోటార్న్ ఇమ్యాజినేటర్ అనే కార్ కస్టమైజేషన్ ఫ్తాట్ఫామ్పు ప్రవేశపెట్టింది,0.0,నెక్చాన్ ఏఎమ్టితో పాటు టాటా మోటార్వ్ ఇమ్యాజినేటర్ అనే కార్ కస్టమైజేషన్ ఫ్గాట్ఫామ్వు ప్రవేశపెట్టింది
